Dptr Hour,Length of Flight (Hrs),Day of Week,Passengers Boarded,Stock Out Occurred,Cheese Platters Sold
2,2,Saturday,104,0,10
21,1,Saturday,165,0,14
23,3,Thursday,121,0,13
15,3,Thursday,134,0,19
5,4,Thursday,165,0,17
14,2,Saturday,138,0,17
2,1,Thursday,123,0,13
24,4,Saturday,152,0,14
4,6,Tuesday,144,0,16
2,3,Wednesday,155,0,15
3,2,Sunday,123,0,11
20,6,Sunday,109,0,11
22,4,Sunday,153,0,14
2,2,Sunday,132,0,13
15,4,Thursday,128,0,16
14,4,Tuesday,130,0,18
22,3,Sunday,165,0,16
20,3,Thursday,165,0,17
2,6,Tuesday,117,0,13
4,2,Thursday,148,0,14
9,2,Thursday,123,0,15
1,4,Tuesday,148,0,16
22,4,Sunday,156,0,15
6,4,Wednesday,103,0,12
3,1,Thursday,146,0,14
20,3,Thursday,129,0,14
11,4,Sunday,122,0,15
11,6,Tuesday,117,0,17
13,3,Monday,141,0,19
16,3,Saturday,100,0,13
23,6,Tuesday,165,0,17
16,4,Sunday,141,0,18
4,1,Sunday,147,0,12
21,2,Monday,165,0,16
13,3,Friday,140,0,18
6,4,Sunday,136,0,12
4,4,Friday,134,0,14
15,2,Sunday,138,0,18
18,6,Tuesday,84,0,12
19,2,Monday,142,0,18
1,2,Wednesday,153,0,15
2,1,Saturday,146,0,13
23,4,Tuesday,131,0,14
22,4,Saturday,121,0,11
10,2,Friday,96,0,13
16,6,Friday,146,0,19
22,2,Thursday,165,0,16
12,5,Monday,121,0,15
4,6,Friday,165,0,17
8,3,Saturday,125,0,16
11,1,Sunday,132,0,16
6,6,Tuesday,136,0,15
7,1,Tuesday,135,0,14
6,4,Monday,125,0,14
20,4,Saturday,155,0,14
23,6,Tuesday,159,0,18
22,4,Sunday,153,0,15
15,2,Monday,145,0,19
4,1,Tuesday,157,0,17
24,2,Wednesday,135,0,14
6,5,Monday,120,0,13
5,4,Friday,165,0,17
4,4,Saturday,159,0,15
13,3,Saturday,91,0,11
9,1,Saturday,117,0,14
0,1,Tuesday,142,0,14
22,3,Monday,149,0,16
0,2,Wednesday,120,0,12
8,3,Sunday,126,0,17
19,2,Monday,141,0,18
21,5,Saturday,159,0,16
11,2,Sunday,137,0,16
7,4,Wednesday,157,0,17
11,4,Saturday,71,0,9
21,4,Friday,158,0,17
14,1,Saturday,133,0,15
5,6,Monday,165,0,19
24,5,Friday,131,0,14
8,1,Thursday,117,0,15
0,6,Thursday,148,0,16
3,5,Saturday,112,0,10
6,4,Monday,132,0,12
9,1,Saturday,153,0,19
0,5,Monday,165,0,17
3,4,Monday,151,0,14
7,1,Thursday,119,0,12
12,2,Friday,102,0,13
10,5,Monday,119,0,17
12,2,Sunday,109,0,14
2,1,Friday,165,0,16
22,4,Thursday,97,0,11
24,5,Tuesday,129,0,14
8,2,Sunday,157,0,19
22,2,Monday,155,0,17
16,4,Friday,128,0,17
17,6,Sunday,117,0,16
6,5,Wednesday,161,0,17
20,1,Thursday,99,0,11
21,4,Monday,137,0,14
24,3,Sunday,133,0,13
7,5,Saturday,141,0,14
17,3,Saturday,113,0,15
9,5,Monday,135,0,19
5,1,Friday,152,0,16
3,5,Monday,118,0,13
3,6,Sunday,122,0,12
5,4,Wednesday,165,0,17
21,6,Sunday,133,0,13
14,5,Monday,131,0,19
1,2,Thursday,165,0,18
2,1,Monday,165,0,15
3,1,Wednesday,142,0,14
4,1,Thursday,106,0,11
20,2,Thursday,142,0,15
5,2,Saturday,159,0,15
3,5,Monday,95,0,10
20,1,Sunday,89,0,8
18,5,Saturday,119,0,15
5,4,Wednesday,131,0,14
6,5,Thursday,149,0,16
3,6,Saturday,118,0,13
4,1,Tuesday,165,0,15
4,1,Friday,145,0,14
17,4,Monday,142,0,19
23,3,Wednesday,165,0,18
1,2,Monday,138,0,14
21,4,Tuesday,165,0,17
12,5,Tuesday,130,0,18
19,5,Saturday,148,0,19
21,3,Saturday,135,0,13
22,2,Tuesday,146,0,15
3,5,Monday,138,0,15
18,4,Monday,108,0,15
10,6,Sunday,117,0,16
5,2,Monday,133,0,14
9,1,Friday,105,0,15
24,5,Tuesday,103,0,11
2,4,Monday,143,0,15
1,1,Monday,110,0,11
20,1,Sunday,152,0,14
11,4,Saturday,84,0,11
5,1,Friday,126,0,12
8,5,Saturday,107,0,13
12,6,Monday,129,0,18
5,4,Monday,104,0,12
3,1,Saturday,154,0,13
16,2,Sunday,113,0,15
3,2,Sunday,143,0,13
4,5,Saturday,90,0,9
5,2,Tuesday,147,0,16
9,5,Thursday,115,0,16
10,2,Friday,126,0,17
9,2,Sunday,141,0,17
11,3,Tuesday,112,0,15
10,3,Sunday,111,0,14
10,4,Wednesday,125,0,17
8,3,Sunday,149,0,19
3,2,Monday,165,0,17
22,3,Thursday,151,0,16
4,5,Friday,149,0,16
7,1,Tuesday,147,0,13
24,2,Tuesday,165,0,17
17,5,Friday,126,0,17
21,4,Saturday,131,0,12
22,2,Friday,127,0,13
16,1,Thursday,112,0,15
4,3,Monday,155,0,16
24,6,Saturday,145,0,14
22,3,Wednesday,98,0,10
12,2,Saturday,127,0,15
2,3,Friday,165,0,18
15,2,Saturday,105,0,13
16,1,Saturday,119,0,14
3,2,Wednesday,156,0,16
22,2,Tuesday,148,0,16
24,6,Monday,105,0,11
2,5,Saturday,165,0,17
21,4,Saturday,139,0,14
6,6,Monday,140,0,16
20,6,Monday,147,0,16
13,4,Sunday,113,0,14
22,4,Tuesday,165,0,18
11,4,Thursday,139,0,19
24,4,Monday,158,0,16
7,4,Friday,111,0,12
24,4,Thursday,165,0,17
21,1,Sunday,160,0,15
3,5,Wednesday,144,0,15
3,4,Saturday,118,0,11
0,1,Wednesday,128,0,13
4,3,Thursday,155,0,15
17,3,Sunday,130,0,17
21,4,Friday,122,0,13
3,2,Tuesday,145,0,15
20,1,Thursday,129,0,13
9,4,Monday,122,0,18
21,2,Sunday,123,0,11
21,4,Monday,136,0,15
3,1,Friday,124,0,13
24,6,Saturday,127,0,13
7,1,Tuesday,156,0,17
10,4,Friday,141,0,19
12,1,Tuesday,138,0,17
7,5,Saturday,149,0,14
1,1,Saturday,132,0,13
22,1,Monday,162,0,17
8,4,Monday,114,0,16
2,3,Sunday,152,0,14
1,4,Saturday,144,0,14
6,1,Thursday,90,0,9
6,3,Thursday,165,0,18
14,3,Friday,117,0,16
23,5,Monday,108,0,12
22,4,Friday,159,0,17
2,1,Friday,147,0,14
23,3,Friday,155,0,17
16,2,Saturday,109,0,14
15,3,Saturday,125,0,16
2,4,Saturday,131,0,14
6,5,Monday,130,0,15
12,1,Sunday,159,0,19
1,1,Monday,127,0,12
10,6,Monday,118,0,16
14,6,Monday,131,0,18
3,4,Thursday,95,0,10
7,2,Wednesday,109,0,11
11,1,Wednesday,143,0,18
20,2,Saturday,129,0,13
16,2,Saturday,106,0,13
4,2,Friday,154,0,15
10,6,Wednesday,123,0,17
21,5,Saturday,135,0,13
5,3,Monday,165,0,18
7,1,Tuesday,93,0,9
23,2,Friday,141,0,16
23,4,Sunday,127,0,13
14,1,Saturday,146,0,17
11,1,Sunday,157,0,18
9,3,Sunday,131,0,16
2,4,Sunday,131,0,13
1,6,Thursday,122,0,14
3,4,Wednesday,126,0,14
12,6,Thursday,104,0,15
16,6,Saturday,130,0,17
9,1,Sunday,110,0,13
22,1,Saturday,165,0,14
3,6,Tuesday,146,0,17
5,4,Sunday,131,0,12
1,4,Saturday,152,0,14
3,1,Wednesday,153,0,16
1,3,Thursday,165,0,16
23,5,Wednesday,144,0,15
12,3,Thursday,147,0,19
17,1,Friday,120,0,15
24,4,Friday,165,0,19
8,3,Tuesday,92,0,12
20,5,Sunday,117,0,11
4,5,Thursday,165,0,18
10,2,Tuesday,125,0,15
2,2,Friday,140,0,14
8,3,Friday,111,0,15
7,4,Saturday,136,0,14
21,3,Sunday,142,0,14
16,5,Wednesday,149,0,19
11,1,Friday,146,0,19
21,6,Sunday,120,0,12
8,2,Saturday,126,0,15
12,4,Thursday,126,0,17
4,6,Monday,147,0,18
9,5,Tuesday,126,0,18
21,4,Saturday,146,0,14
7,5,Monday,132,0,13
5,5,Sunday,131,0,12
23,4,Monday,127,0,13
5,5,Saturday,165,0,15
16,4,Thursday,107,0,15
21,6,Monday,165,0,18
22,3,Tuesday,135,0,13
4,1,Thursday,165,0,16
5,4,Monday,150,0,16
22,5,Thursday,97,0,10
4,6,Tuesday,164,0,17
11,1,Monday,97,0,13
3,6,Thursday,139,0,15
22,5,Thursday,129,0,16
22,3,Saturday,133,0,13
12,3,Wednesday,123,0,16
12,2,Wednesday,143,0,19
6,5,Thursday,103,0,12
0,3,Saturday,161,0,16
4,1,Monday,150,0,14
18,2,Sunday,80,0,9
13,6,Friday,101,0,14
21,6,Friday,91,0,10
5,1,Thursday,165,0,16
15,4,Friday,131,0,17
11,3,Thursday,105,0,15
20,6,Tuesday,114,0,12
15,5,Thursday,104,0,13
3,6,Thursday,75,0,8
20,1,Tuesday,127,0,14
7,1,Sunday,118,0,10
0,2,Sunday,165,0,15
8,1,Sunday,150,0,17
5,5,Tuesday,100,0,10
18,1,Saturday,152,0,19
21,5,Monday,157,0,16
4,6,Tuesday,104,0,12
9,2,Saturday,138,0,17
0,2,Monday,108,0,11
18,4,Tuesday,114,0,16
1,5,Thursday,103,0,10
17,3,Friday,118,0,16
22,4,Monday,161,0,17
1,5,Thursday,152,0,17
21,4,Thursday,155,0,16
0,3,Sunday,133,0,13
9,4,Tuesday,120,0,17
3,2,Tuesday,135,0,15
8,5,Thursday,112,0,16
3,1,Sunday,144,0,13
4,3,Thursday,136,0,14
0,4,Sunday,145,0,14
9,4,Saturday,147,0,19
23,2,Sunday,135,0,12
17,4,Thursday,141,0,18
9,3,Saturday,139,0,17
10,6,Thursday,111,0,15
24,3,Monday,80,0,9
7,6,Thursday,150,0,16
1,1,Saturday,138,0,13
7,3,Tuesday,120,0,11
11,3,Sunday,150,0,18
0,3,Saturday,133,0,12
18,2,Wednesday,130,0,18
9,4,Tuesday,84,0,11
21,1,Wednesday,165,0,16
1,1,Thursday,125,0,13
3,1,Wednesday,143,0,15
7,3,Monday,153,0,16
18,6,Tuesday,106,0,14
17,3,Thursday,139,0,18
6,1,Friday,121,0,13
24,1,Sunday,120,0,12
21,2,Friday,87,0,9
7,1,Tuesday,131,0,14
21,6,Sunday,165,0,15
6,2,Thursday,142,0,15
13,2,Monday,128,0,17
8,5,Sunday,145,0,19
5,3,Wednesday,140,0,15
8,5,Friday,120,0,17
4,4,Thursday,131,0,15
20,2,Monday,165,0,17
7,3,Saturday,112,0,11
1,2,Saturday,128,0,12
12,5,Sunday,119,0,15
13,4,Thursday,97,0,13
3,3,Monday,130,0,15
20,4,Monday,115,0,13
24,1,Monday,158,0,16
5,6,Monday,109,0,12
0,3,Wednesday,125,0,13
17,6,Wednesday,91,0,12
6,4,Sunday,165,0,15
3,4,Sunday,131,0,13
16,6,Wednesday,126,0,19
5,6,Monday,161,0,17
22,4,Tuesday,109,0,11
17,3,Saturday,141,0,18
24,2,Tuesday,158,0,16
7,6,Sunday,165,0,15
16,2,Monday,112,0,15
20,6,Saturday,154,0,16
18,5,Thursday,125,0,17
2,5,Thursday,139,0,15
16,4,Saturday,133,0,18
22,1,Monday,130,0,14
7,4,Friday,106,0,11
4,4,Friday,107,0,12
14,4,Monday,113,0,16
11,4,Friday,110,0,14
18,5,Wednesday,117,0,16
22,2,Saturday,156,0,15
23,1,Friday,133,0,13
17,1,Saturday,151,0,18
3,6,Friday,120,0,12
1,1,Wednesday,148,0,14
0,2,Tuesday,130,0,13
18,1,Tuesday,115,0,15
2,6,Friday,128,0,15
15,4,Thursday,122,0,16
21,5,Friday,154,0,16
2,4,Thursday,149,0,15
16,1,Sunday,135,0,16
0,4,Monday,137,0,15
14,4,Friday,146,0,19
5,4,Friday,134,0,14
21,5,Wednesday,145,0,16
2,3,Saturday,140,0,13
17,2,Saturday,156,0,19
20,6,Thursday,132,0,14
4,4,Sunday,165,0,16
2,1,Tuesday,128,0,12
21,3,Monday,118,0,13
3,2,Saturday,115,0,10
7,4,Tuesday,165,0,17
11,3,Tuesday,130,0,17
5,6,Thursday,114,0,13
18,3,Thursday,123,0,16
13,1,Tuesday,126,0,15
20,4,Sunday,165,0,17
5,5,Thursday,165,0,17
23,1,Friday,158,0,16
11,6,Friday,121,0,17
17,1,Monday,132,0,16
23,5,Wednesday,142,0,15
1,4,Saturday,106,0,11
16,3,Tuesday,141,0,18
17,2,Friday,141,0,19
3,5,Friday,145,0,16
15,3,Tuesday,141,0,19
16,4,Tuesday,123,0,17
13,1,Sunday,164,0,19
10,1,Tuesday,143,0,18
12,5,Sunday,149,0,19
19,3,Saturday,151,0,18
4,2,Saturday,150,0,14
3,6,Thursday,139,0,14
21,1,Monday,126,0,12
16,6,Friday,102,0,14
21,6,Tuesday,126,0,14
0,3,Tuesday,107,0,11
21,3,Sunday,109,0,11
1,6,Sunday,165,0,16
18,6,Saturday,126,0,17
22,1,Tuesday,130,0,13
17,4,Sunday,111,0,14
11,2,Saturday,131,0,15
2,4,Saturday,165,0,16
3,4,Wednesday,134,0,15
24,2,Saturday,165,0,16
4,5,Friday,165,0,16
13,3,Monday,78,0,11
1,3,Wednesday,95,0,9
13,1,Wednesday,113,0,15
23,4,Monday,83,0,9
3,3,Thursday,109,0,11
16,2,Friday,105,0,14
6,5,Thursday,140,0,16
11,5,Monday,96,0,13
15,6,Tuesday,117,0,16
0,3,Sunday,87,0,8
9,1,Tuesday,120,0,16
14,5,Monday,121,0,16
24,6,Thursday,141,0,16
11,5,Sunday,132,0,17
15,4,Tuesday,142,0,19
10,6,Thursday,129,0,18
14,3,Friday,118,0,16
9,5,Friday,127,0,19
21,5,Monday,114,0,12
7,3,Saturday,145,0,14
0,1,Sunday,140,0,14
13,4,Wednesday,144,0,19
16,2,Saturday,142,0,17
23,6,Wednesday,136,0,15
1,2,Monday,135,0,15
15,4,Sunday,150,0,19
12,1,Monday,142,0,18
20,2,Wednesday,165,0,17
3,1,Saturday,120,0,11
0,2,Tuesday,121,0,12
13,4,Wednesday,136,0,18
5,5,Tuesday,156,0,18
7,3,Monday,165,0,17
17,2,Friday,131,0,17
3,2,Monday,153,0,16
20,5,Monday,146,0,16
18,1,Wednesday,115,0,16
24,4,Saturday,74,0,7
9,5,Saturday,105,0,14
4,3,Saturday,165,0,15
24,1,Sunday,161,0,15
22,1,Wednesday,165,0,16
4,3,Friday,165,0,18
7,2,Monday,157,0,15
6,2,Friday,86,0,9
20,1,Sunday,131,0,11
22,5,Saturday,118,0,12
10,2,Sunday,150,0,18
18,1,Sunday,139,0,18
21,1,Saturday,124,0,12
7,2,Monday,156,0,16
18,6,Saturday,105,0,14
23,6,Saturday,136,0,13
6,5,Tuesday,132,0,15
4,3,Sunday,101,0,10
23,6,Friday,130,0,14
24,6,Saturday,129,0,13
24,3,Friday,129,0,14
2,4,Wednesday,136,0,14
6,4,Sunday,157,0,14
16,5,Thursday,137,0,19
22,3,Thursday,162,0,17
24,4,Tuesday,103,0,12
18,2,Monday,136,0,19
0,6,Sunday,115,0,12
6,6,Wednesday,152,0,16
9,2,Friday,138,0,19
23,1,Wednesday,120,0,12
18,2,Saturday,128,0,15
1,3,Thursday,165,0,16
3,4,Tuesday,114,0,12
11,4,Saturday,127,0,15
11,2,Friday,123,0,16
8,6,Monday,122,0,18
0,6,Wednesday,123,0,13
2,6,Thursday,109,0,12
1,4,Wednesday,156,0,17
8,3,Sunday,155,0,19
7,2,Sunday,142,0,14
2,6,Wednesday,137,0,15
12,5,Saturday,151,0,19
3,6,Thursday,150,0,16
9,4,Thursday,125,0,17
22,5,Thursday,149,0,16
21,4,Saturday,127,0,12
9,6,Saturday,135,0,18
23,1,Tuesday,119,0,12
9,1,Monday,132,0,18
20,6,Saturday,147,0,15
3,2,Tuesday,116,0,12
4,5,Friday,163,0,17
2,4,Wednesday,67,0,7
0,4,Friday,108,0,11
7,5,Thursday,151,0,16
22,1,Thursday,153,0,15
15,1,Tuesday,94,0,12
12,1,Tuesday,128,0,16
23,3,Tuesday,120,0,13
19,4,Saturday,136,0,17
21,1,Wednesday,165,0,16
23,3,Wednesday,127,0,13
22,2,Thursday,165,0,17
14,1,Saturday,112,0,13
1,6,Sunday,146,0,15
10,1,Friday,123,0,15
16,1,Sunday,144,0,17
15,4,Tuesday,126,0,17
3,2,Thursday,142,0,15
2,5,Tuesday,101,0,11
10,1,Friday,156,0,19
5,1,Friday,165,0,16
8,1,Monday,147,0,19
24,1,Wednesday,127,0,12
13,6,Monday,108,0,16
0,6,Friday,103,0,12
7,6,Tuesday,137,0,15
4,6,Tuesday,140,0,15
3,4,Wednesday,106,0,11
1,5,Sunday,165,0,16
2,2,Sunday,110,0,10
24,2,Thursday,165,0,17
22,4,Tuesday,141,0,15
0,6,Monday,118,0,13
24,4,Friday,109,0,11
22,4,Thursday,106,0,11
4,3,Wednesday,123,0,13
14,3,Friday,133,0,18
15,2,Friday,103,0,13
13,3,Monday,117,0,16
1,5,Wednesday,150,0,16
15,4,Thursday,139,0,19
13,2,Monday,144,0,19
15,2,Saturday,95,0,12
20,1,Monday,145,0,16
9,1,Monday,146,0,19
21,4,Saturday,165,0,15
20,6,Friday,148,0,16
9,1,Thursday,145,0,19
7,2,Monday,127,0,12
4,3,Monday,84,0,9
24,6,Wednesday,102,0,12
4,6,Friday,160,0,18
16,6,Sunday,112,0,15
7,4,Saturday,132,0,12
4,4,Wednesday,99,0,10
1,5,Saturday,123,0,12
18,6,Tuesday,109,0,15
